population,location,number,ID,ramet,block,pair,treatment_initial,treatment_final,control_initial,control_final
Cemetary,South,7a,CE7a,D,19,96,389,78,401,420
Cemetary,South,5,CE5,D,19,95,395,141,370,332
Prairie Island,North,27,PI27,D,19,95,465,351,446,427
Reserve,South,7,RE7,D,19,94,458,129,477,484
Prairie Island,North,5,PI5,D,19,94,496,332,484,446
Oil Patch,South,2,OP2,D,20,103,528,325,541,458
Frontenac,North,10,FR10,D,20,103,420,205,414,376
Oil Patch,South,6,OP6,D,20,102,439,319,490,452
Prairie Island,North,10,PI10,D,20,101,541,376,560,427
Cemetary,South,1,CE1,D,20,101,433,154,458,395
Prairie Island,North,2,PI2,D,20,102,490,376,509,452
Oil Patch,South,1,OP1,D,20,100,503,286,534,484
Prairie Island,North,13,PI13,D,20,100,553,313,572,522
Oil Patch,South,7,OP7,D,20,99,522,313,522,465
Prairie Island,North,18,PI18,D,20,99,579,389,553,484
