"","population","location","number","epr_trt","epr_max","cntr_trt","cntr_max","trtpro","cntrpro","CMS"
"32","Prairie Island","North","10",77.7,218,19.69,190.1,0.356422018348624,0.103577064702788,71.7940110978972
"33","Prairie Island","North","11",132.8,205,17.55,192,0.647804878048781,0.09140625,38.7626617452761
"34","Prairie Island","North","12",104,193.1,18.93,188.5,0.538581046090109,0.100424403183024,51.2929603184611
"35","Prairie Island","North","13",138,246,27.9,245,0.560975609756098,0.113877551020408,49.5444383278471
"36","Prairie Island","North","14",55.2,222,17.86,213,0.248648648648649,0.083849765258216,82.0118057998554
"37","Prairie Island","North","15",23.7,148.8,8.88,126.2,0.159274193548387,0.070364500792393,90.4360695313617
"38","Prairie Island","North","18",44.2,157.1,16.54,169.1,0.281349458943348,0.0978119455943229,79.6564017387781
"39","Prairie Island","North","19",78.1,156.1,16.97,158.9,0.500320307495195,0.106796727501573,55.942438623979
"40","Prairie Island","North","21",136.6,213,24.9,193.3,0.64131455399061,0.128815312984997,41.1721476921704
"41","Prairie Island","North","25",40.6,150.1,15.73,159.6,0.270486342438374,0.0985588972431078,80.9274899192573
"42","Prairie Island","North","27",49.4,159.7,17.55,162.3,0.309329993738259,0.108133086876155,77.4409271269641
"43","Prairie Island","North","28",18.52,196.2,18.52,191.5,0.0943934760448522,0.096710182767624,100.25647435392
"44","Prairie Island","North","30",34.2,133.7,12.58,144.9,0.255796559461481,0.0868184955141477,81.4956760384155
"45","Reserve","North","3",48.8,239,27.4,250,0.20418410041841,0.1096,89.3773472126673
"46","Reserve","North","5",64.2,181.6,31,187.5,0.35352422907489,0.165333333333333,77.4531674431042
"47","Tremp","North","1",32.8,163.4,15.63,153.5,0.200734394124847,0.101824104234528,88.9876481481366
"48","Tremp","North","2",63.8,140.6,21.4,151.7,0.453769559032717,0.141067897165458,63.5941349921235
"49","Tremp","North","3",71.9,179.9,23.7,185.4,0.399666481378544,0.127831715210356,68.8323032482486
"50","Tremp","North","4",89.9,164.1,24.3,177.3,0.547836684948202,0.137055837563452,52.3977488618848
"51","Tremp","North","5",34.7,142.5,15.43,136.2,0.243508771929825,0.113289280469897,85.3143208273229
"52","Tremp","North","6",51.6,154.4,22.1,158.4,0.33419689119171,0.139520202020202,77.3757978248226
"53","Tremp","North","7",38.4,174,21.7,172.9,0.220689655172414,0.125506072874494,89.1155810983397
"54","Tremp","North","8",48,197.6,17.44,191.3,0.242914979757085,0.0911657083115525,83.302866888571
"55","Tremp","North","9",38.7,186.3,22.2,192.3,0.207729468599034,0.115444617784711,89.5670918215202
"56","Tremp","North","10",39.4,154.4,15.88,175,0.255181347150259,0.0907428571428572,81.9150730572553
"57","Tremp","North","11",58.3,187.7,25.7,194.4,0.310602024507192,0.132201646090535,79.4421852020165
"58","Tremp","North","12",48.6,152.6,24.3,149.1,0.318479685452163,0.162977867203219,81.4220183486239
"59","Tremp","North","13",48.6,157,26.1,157.8,0.309554140127389,0.165399239543726,82.7276816157161
"60","Tremp","North","14",38.7,179.7,17.46,181.7,0.215358931552588,0.0960924600990644,86.8054567321571
"61","Tremp","North","15",43.1,132.3,15.14,125.8,0.325774754346183,0.120349761526232,76.646969007094
"62","Tremp","North","18",46.5,134.7,16.72,135,0.345211581291759,0.123851851851852,74.7348972993004
"63","Tremp","North","19",46.5,175.5,15.14,187,0.264957264957265,0.0809625668449198,79.9796296130522
"64","Tremp","North","20",88.4,172.5,22.8,171.7,0.512463768115942,0.132789749563192,56.2189194187325
"65","Tremp","North","21",58.5,151.5,17.39,138.9,0.386138613861386,0.125197984161267,70.1714645170385
"66","Tremp","North","22",75.3,164.1,16.56,158,0.458866544789762,0.104810126582278,60.4490143687907
"67","Tremp","North","23",36,168.5,19.93,159.4,0.213649851632047,0.125031367628607,89.8718101741246
"68","Tremp","North","24",40.3,157.3,18.43,164.1,0.256198347107438,0.11230956733699,83.7906578153837
"69","Tremp","North","25",50.4,153.2,32.4,169.7,0.328981723237598,0.190925162050678,82.9364905801745
"70","Tremp","North","26",72.9,195.1,19.79,189.4,0.373654536135315,0.104487856388596,69.9427102505579
"71","Tremp","North","27",83.9,195.2,23.7,234,0.429815573770492,0.101282051282051,63.4442014920137
"72","Tremp","North","28",61.8,209,16.75,170,0.295693779904306,0.0985294117647059,78.1285855897344
"73","Tremp","North","29",43.7,166.9,19.2,158.6,0.261833433193529,0.121059268600252,83.9836567399615
"74","Tremp","North","30",78.2,228,26.9,251,0.342982456140351,0.107171314741036,73.5883103564355
