population,location,number,ID,ramet,temp,no_tubes,tubes,total_grains,mean_length,median_length,sd_length,se_length,max_length,time
Oil Patch,South,4,OP4,B,25,50,383,433,1.284657581,1.233388589,0.239295758,0.053508158,2.085976215,16
Oil Patch,South,4,OP4,B,30,7,179,186,1.150493954,1.12434265,0.147283564,0.032933606,1.452856142,16
Oil Patch,South,4,OP4,B,40,48,295,343,0.379950226,0.353181872,0.083882846,0.018756775,0.618693036,16
Oil Patch,South,4,OP4,C,10,336,106,442,0.061857894,0.05912813,0.016461617,0.003680929,0.111554872,16
Oil Patch,South,4,OP4,C,20,78,340,418,0.776410255,0.72080613,0.180689199,0.040403333,1.238149491,16
Oil Patch,South,4,OP4,C,25,17,145,162,0.925276121,0.875236088,0.122787144,0.02745604,1.203200933,16
Oil Patch,South,4,OP4,C,30,8,131,139,1.18552107,1.193019314,0.124326089,0.027800159,1.517917445,16
Oil Patch,South,4,OP4,C,40,48,115,163,0.131226138,0.123083196,0.027179492,0.006077519,0.212706384,16
Oil Patch,South,4,OP4,D,10,280,34,314,0.036957185,0.036202568,0.007268277,0.001625236,0.052276567,16
Oil Patch,South,4,OP4,D,20,70,173,243,0.448543858,0.422865868,0.096051043,0.021477666,0.669551831,16
Oil Patch,South,4,OP4,D,25,51,322,373,1.006952941,0.985747947,0.094326338,0.02109201,1.203698076,16
Oil Patch,South,4,OP4,D,30,37,166,203,0.799672011,0.763576756,0.129278088,0.028907459,1.135193765,16
Oil Patch,South,4,OP4,D,40,97,303,400,0.156728954,0.144098032,0.047759354,0.010679316,0.296346755,16
Oil Patch,South,5,OP5,A,10,2384,144,2528,0.050694212,0.048377684,0.006900644,0.001543031,0.067731593,16
Oil Patch,South,5,OP5,A,20,45,395,440,0.708390158,0.685013334,0.059851418,0.013383184,0.847109622,16
Oil Patch,South,5,OP5,A,25,36,292,328,0.890100696,0.869267807,0.138163358,0.030894266,1.328851933,16
Oil Patch,South,5,OP5,A,30,28,200,228,0.880501963,0.900752729,0.0784111,0.017533255,1.008449206,16
Oil Patch,South,5,OP5,A,40,203,214,417,0.105677019,0.099989198,0.020023259,0.004477337,0.144360413,16
Oil Patch,South,5,OP5,C,10,246,8,254,0.030041888,0.029208632,0.006567733,0.001506741,0.045428629,16
Oil Patch,South,5,OP5,C,20,284,54,338,0.575791825,0.561726183,0.115419283,0.025808536,0.808536114,16
Oil Patch,South,5,OP5,C,25,159,29,188,0.952238908,0.98405752,0.124404395,0.027817668,1.210131213,16
