STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,Month,DATE,TAVG,TMAX,TMIN,TOBS,,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Feb,2/27/2018,,64,46,,,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Feb,2/28/2018,,68,59,,,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Mar,3/1/2018,,62,47,,,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Mar,3/2/2018,,67,40,,,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Mar,3/3/2018,,71,46,,,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Mar,3/4/2018,,69,59,,,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Mar,3/5/2018,,71,46,,,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Mar,3/6/2018,,66,35,,,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Mar,3/7/2018,,58,36,,Max,108,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Mar,3/8/2018,,66,33,,Min,-4,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Mar,3/9/2018,,75,50,,Mean,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Mar,3/10/2018,,80,60,,,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Mar,3/11/2018,,67,46,,,,,,,,
