"","population","location","number","treatment_initial","treatment_final","control_initial","control_final","trtpro","cntrpro","chlp_damage","arcsintran"
"36","Prairie Island","North","12",490,154,490,522,0.314285714285714,1.06530612244898,0.751020408163265,1.04837662077976
"37","Prairie Island","North","13",503,344,534,522,0.68389662027833,0.97752808988764,0.29363146960931,0.572669675799116
"38","Prairie Island","North","14",490,53,528,515,0.108163265306122,0.975378787878788,0.867215522572665,1.19781215276045
"39","Prairie Island","North","15",465,116,465,433,0.249462365591398,0.931182795698925,0.681720430107527,0.971377499183207
"40","Prairie Island","North","18",598,167,604,560,0.279264214046823,0.927152317880795,0.647888103833972,0.935532153684518
"41","Prairie Island","North","19",617,205,630,611,0.3322528363047,0.96984126984127,0.63758843353657,0.924784996906307
"42","Prairie Island","North","21",566,160,572,572,0.282685512367491,1,0.717314487632509,1.01021129596478
"43","Prairie Island","North","25",541,148,534,566,0.273567467652495,1.05992509363296,0.786357625980463,1.09030531972496
"44","Prairie Island","North","27",490,78,471,465,0.159183673469388,0.987261146496815,0.828077473027428,1.14325420924534
"45","Prairie Island","North","28",477,154,490,484,0.322851153039832,0.987755102040816,0.664903949000984,0.953448203597889
"46","Prairie Island","North","30",585,167,585,534,0.285470085470085,0.912820512820513,0.627350427350427,0.914167334888505
"47","Reserve","North","3",503,167,503,420,0.332007952286282,0.834990059642147,0.502982107355865,0.788380288433446
"48","Reserve","North","5",484,148,477,452,0.305785123966942,0.947589098532495,0.641803974565553,0.929175393663186
"49","Tremp","North","1",351,129,376,395,0.367521367521368,1.05053191489362,0.683010547372249,0.972763064571549
"50","Tremp","North","2",490,179,458,414,0.36530612244898,0.903930131004367,0.538624008555387,0.824060688695827
"51","Tremp","North","3",439,198,446,458,0.451025056947608,1.02690582959641,0.575880772648804,0.861573272443211
"52","Tremp","North","4",452,122,458,465,0.269911504424779,1.01528384279476,0.745372338369981,1.04187027201965
"53","Tremp","North","5",389,148,389,363,0.380462724935733,0.933161953727506,0.552699228791774,0.838195454366618
"54","Tremp","North","6",401,91,382,357,0.226932668329177,0.934554973821989,0.707622305492812,0.999504001151739
"55","Tremp","North","6",167,78,198,192,0.467065868263473,0.96969696969697,0.502631101433497,0.788029276973971
"56","Tremp","North","7",471,192,458,395,0.407643312101911,0.862445414847162,0.454802102745251,0.740138483676084
"57","Tremp","North","8",465,179,465,452,0.38494623655914,0.972043010752688,0.587096774193548,0.872941531502783
"58","Tremp","North","9",376,135,401,408,0.359042553191489,1.01745635910224,0.658413805910755,0.946589620438015
"59","Tremp","North","10",465,179,471,420,0.38494623655914,0.89171974522293,0.50677350866379,0.792171879259297
"60","Tremp","North","11",515,122,471,465,0.236893203883495,0.987261146496815,0.75036794261332,1.04762251904957
"61","Tremp","North","12",433,173,395,376,0.399538106235566,0.951898734177215,0.552360627941649,0.837854969230984
"62","Tremp","North","13",446,154,395,401,0.345291479820628,1.01518987341772,0.669898393597094,0.958748573361528
"63","Tremp","North","14",458,141,471,427,0.307860262008734,0.906581740976645,0.598721478967912,0.884772584631222
"64","Tremp","North","15",509,122,484,471,0.239685658153242,0.973140495867769,0.733454837714527,1.028294615567
"65","Tremp","North","17",408,116,408,382,0.284313725490196,0.936274509803922,0.651960784313726,0.93980128707135
"66","Tremp","North","18",522,205,490,471,0.39272030651341,0.961224489795918,0.568504183282508,0.854118496214368
"67","Tremp","North","19",490,173,465,484,0.353061224489796,1.04086021505376,0.687798990563967,0.977919119793653
"68","Tremp","North","20",447,179,471,503,0.400447427293065,1.06794055201699,0.66749312472392,0.956193481562375
"69","Tremp","North","21",427,205,465,471,0.480093676814988,1.01290322580645,0.532809548991463,0.818231303716075
"70","Tremp","North","22",446,157,427,452,0.352017937219731,1.05854800936768,0.706530072147951,0.99830401796772
"71","Tremp","North","23",370,135,382,370,0.364864864864865,0.968586387434555,0.60372152256969,0.889878372954073
"72","Tremp","North","24",471,129,408,389,0.273885350318471,0.95343137254902,0.679546022230548,0.969045597965394
"73","Tremp","North","25",465,167,439,401,0.359139784946237,0.913439635535307,0.554299850589071,0.839805318919087
"74","Tremp","North","26",452,205,452,484,0.45353982300885,1.07079646017699,0.617256637168142,0.903757088112002
"75","Tremp","North","27",439,135,477,515,0.30751708428246,1.07966457023061,0.772147485948148,1.0731723931713
"76","Tremp","North","28",427,129,446,433,0.302107728337237,0.97085201793722,0.668744289599983,0.957521996745728
"77","Tremp","North","29",446,179,433,389,0.401345291479821,0.89838337182448,0.49703808034466,0.782436226418617
"78","Tremp","North","30",509,192,496,433,0.37721021611002,0.872983870967742,0.495773654857722,0.781171767926253
