"","population","location","number","ID","ramet","block","pair","exp_trt","exp_max","cntr_trt","cntr_max","CMS"
"99","Oil Patch","South","7","OP7","D",20,99,84,141.1,5.68,143.1,0.421404126526911
"100","Oil Patch","South","8","OP8","A",3,14,73.3,149.3,10.24,162,0.543389799030514
"101","Oil Patch","South","8","OP8","B",8,39,94.8,174.6,11.4,173.7,0.489147626579263
"102","Oil Patch","South","8","OP8","C",14,70,84.4,155.4,6.13,139.3,0.477916528828897
"103","Oil Patch","South","8","OP8","D",17,84,69.3,110,6.06,107.6,0.392081938152452
"104","Oil Patch","South","9","OP9","A",4,20,133.7,269,8.44,253,0.520332091743856
"105","Oil Patch","South","9","OP9","B",10,49,62.9,117.9,14.64,96.7,0.549722921456135
"106","Oil Patch","South","9","OP9","C",13,64,76,130.8,7.72,119.1,0.447999327865099
"107","Oil Patch","South","9","OP9","D",17,85,71.1,120.9,10.78,120.1,0.452529010830771
"108","Prairie Island","North","1","PI1","A",1,5,72.5,160.7,6.46,172.9,0.570151136722047
"109","Prairie Island","North","1","PI1","B",7,32,110.6,207,6.73,200,0.481916989798507
"110","Prairie Island","North","1","PI1","C",12,61,57.7,123.2,5.33,117.6,0.556896118934063
"111","Prairie Island","North","1","PI1","D",18,90,101.1,172.2,17.6,164.3,0.462427766258381
"112","Prairie Island","North","10","PI10","A",1,3,128.6,309,8.17,282,0.601237604367248
"113","Prairie Island","North","10","PI10","B",10,51,63.4,108.8,9.42,100.1,0.460627140688653
"114","Prairie Island","North","10","PI10","C",12,62,78.1,144.1,8.26,167.6,0.481758245127563
"115","Prairie Island","North","10","PI10","D",20,101,104,173.9,12.29,180.7,0.431288492352739
"116","Prairie Island","North","11","PI11","A",4,18,133.1,270,12.5,289,0.529959145402183
"117","Prairie Island","North","11","PI11","C",12,60,88.5,158.3,9.46,142.6,0.472264695368613
"118","Prairie Island","North","11","PI11","D",17,84,123.4,180.1,8.41,159.3,0.332372178268279
"119","Prairie Island","North","11","PI11","E",21,106,90.9,150.7,17.78,170.9,0.442892243026101
"120","Prairie Island","North","12","PI12","A",3,11,150.8,295,9.65,297,0.505229257416544
"121","Prairie Island","North","12","PI12","B",6,27,126.1,245,13.96,241,0.515146121873697
"122","Prairie Island","North","12","PI12","C",12,58,72.2,131.1,6.91,134.7,0.473569068818748
"123","Prairie Island","North","12","PI12","D",18,92,94.1,178.1,22.3,178.3,0.539066211722023
"124","Prairie Island","North","13","PI13","A",4,19,113.9,254,12.23,242,0.580933552518626
"125","Prairie Island","North","13","PI13","B",8,40,103.8,179.2,8.47,174.6,0.44221097290418
"126","Prairie Island","North","13","PI13","C",11,57,54.5,115.6,6.04,106.1,0.560451791209012
"127","Prairie Island","North","13","PI13","D",20,100,96.2,153.2,7.66,139.7,0.393647031558599
"128","Prairie Island","North","14","PI14","A",3,12,110.7,229,9.6,250,0.537223259632781
"129","Prairie Island","North","14","PI14","B",8,39,95.3,169.8,11.81,194.8,0.467068073708997
"130","Prairie Island","North","14","PI14","C",12,59,64.5,117.5,6.93,119.7,0.478782836087008
"131","Prairie Island","North","14","PI14","D",19,97,148.6,239,49,218,0.487910673169766
"132","Prairie Island","North","15","PI15","A",2,6,107.5,221,9.81,223,0.537206948361869
"133","Prairie Island","North","15","PI15","B",9,45,100.5,182.3,12.54,189.9,0.480436417242616
"134","Prairie Island","North","15","PI15","C",11,56,55.6,112.2,9.59,116.2,0.549834211724444
