"","ID","location","population","number","ramet","Cgerm","Hgerm","CPTGR","HPTGR","HCMS","CCMS","HCHPL","CCHPL","HPS","CPS"
"113","PI10","North","Prairie Island","10","B",9.086,49.883,9.544,41.876,0.689191065,0.460627140688653,0.398629072,0.676579163,0.358673469387755,0.382899628252788
"114","PI10","North","Prairie Island","10","C",NA,NA,NA,NA,0.795283799,0.481758245127563,0.42042639,0.715025907,0.803191489361702,0.846390168970814
"115","PI10","North","Prairie Island","10","D",NA,NA,NA,NA,0.796611263,0.431288492352739,0.475303587,0.932509242,0.699876998769988,0.297652582159624
"116","PI11","North","Prairie Island","11","A",NA,NA,NA,NA,0.400431732,0.529959145402183,0.576446216,0.688126828,NA,0.465703971119134
"117","PI11","North","Prairie Island","11","C",9.231,53.319,9.974,41.789,0.771920819,0.472264695368613,0.465708296,0.677364865,NA,NA
"118","PI11","North","Prairie Island","11","D",NA,NA,NA,NA,0.758047979,0.332372178268279,0.372055367,0.794743816,NA,NA
"119","PI11","North","Prairie Island","11","E",NA,NA,NA,NA,0.634006312,0.442892243026101,0.314407992,0.638539015,0.152099886492622,0.837762237762238
"120","PI12","North","Prairie Island","12","A",NA,NA,NA,NA,0.928951009,0.505229257416544,0.569207306,0.696360177,0.233014354066986,0.392749244712991
"121","PI12","North","Prairie Island","12","B",NA,NA,NA,NA,0.770363468,0.515146121873697,0.430892266,0.725639162,NA,NA
"122","PI12","North","Prairie Island","12","C",NA,NA,NA,NA,0.811759152,0.473569068818748,0.409255447,0.907238068,0.893662728249194,0.891273247496423
"123","PI12","North","Prairie Island","12","D",NA,NA,NA,NA,0.749571768,0.539066211722023,0.785493387,0.719753041,0.811224489795918,0.361090909090909
"124","PI13","North","Prairie Island","13","A",NA,NA,NA,NA,0.565897936,0.580933552518626,0.754707605,0.629712859,NA,0.376209677419355
"125","PI13","North","Prairie Island","13","B",NA,NA,NA,NA,0.372889027,0.44221097290418,0.47993311,0.59776323,0.392592592592593,0.232698412698413
"126","PI13","North","Prairie Island","13","C",NA,NA,NA,NA,0.789474853,0.560451791209012,0.358702532,0.714581156,0.319101123595506,0.259539473684211
"127","PI13","North","Prairie Island","13","D",NA,NA,NA,NA,0.938579015,0.393647031558599,0.542644868,0.653416204,NA,0.346745562130178
"128","PI14","North","Prairie Island","14","A",NA,NA,NA,NA,0.973552007,0.537223259632781,0.514098164,0.790425134,0.641791044776119,0.827160493827161
"129","PI14","North","Prairie Island","14","B",NA,NA,NA,NA,0.470390014,0.467068073708997,0.32353777,0.704441768,0.483870967741935,0.967391304347826
"130","PI14","North","Prairie Island","14","C",NA,NA,NA,NA,0.783317884,0.478782836087008,0.364144048,0.71332008,0.712707182320442,0.715748031496063
"131","PI14","North","Prairie Island","14","D",NA,NA,NA,NA,0.743499403,0.487910673169766,0.365709765,0.811130504,0.915841584158416,0.350531914893617
"132","PI15","North","Prairie Island","15","A",9.35,50.618,9.519,40.779,0.823061264,0.537206948361869,0.22036983,0.8709647,0.553571428571429,0.516304347826087
"133","PI15","North","Prairie Island","15","B",NA,NA,NA,NA,0.594220665,0.480436417242616,0.598000422,0.766836372,NA,NA
"134","PI15","North","Prairie Island","15","C",8.037,51.98,10.132,41.471,0.594137136,0.549834211724444,0.318986623,0.73266745,0.747311827956989,0.316614420062696
"135","PI15","North","Prairie Island","15","D",9.323,48.772,9.684,41.808,0.819337232,0.421429612031931,0.543379569,0.573918112,1,0.50965250965251
"136","PI18","North","Prairie Island","18","A",9.232,50.145,9.34,40.724,0.538392209,0.520552574880656,0.625787592,0.808472867,NA,0.263524590163934
"137","PI18","North","Prairie Island","18","C",NA,NA,NA,NA,0.915385556,0.526356460807692,0.398357941,0.750189885,0.543478260869565,0.554054054054054
"138","PI18","North","Prairie Island","18","D",NA,NA,NA,NA,0.946146927,0.373603704435227,0.501639344,0.796621974,0.773076923076923,0.65989847715736
"139","PI18","North","Prairie Island","18","E",NA,NA,NA,NA,0.595532786,0.438524866630991,0.500261233,0.814821634,NA,0.795876288659794
"140","PI19","North","Prairie Island","19","A",NA,NA,NA,NA,NA,NA,0.647592921,0.7972167,NA,0.343010752688172
"141","PI19","North","Prairie Island","19","B",NA,NA,NA,NA,0.568813191,0.5174316188076,0.43071161,0.725497288,0.810126582278481,0.0664150943396226
"142","PI19","North","Prairie Island","19","C",NA,NA,NA,NA,0.855157198,0.446375878534256,0.987116664,0.793098184,NA,NA
"143","PI19","North","Prairie Island","19","D",NA,NA,NA,NA,0.803933988,0.357543010172221,0.399621212,0.780854854,0.618064516129032,0.276646706586826
"144","PI2","North","Prairie Island","2","A",NA,NA,NA,NA,0.57898255,0.522096908749686,0.717027573,0.666310439,NA,0.411046511627907
"145","PI2","North","Prairie Island","2","B",NA,NA,NA,NA,0.666112151,0.517692616932076,0.460094254,0.746441131,NA,NA
"146","PI2","North","Prairie Island","2","C",NA,NA,NA,NA,0.899687851,0.508896418253994,0.629617457,0.780404467,0.483050847457627,0.471875
"147","PI2","North","Prairie Island","2","D",NA,NA,NA,NA,0.900375327,0.431965014293857,0.568599518,0.879331222,0.411764705882353,0.461904761904762
"148","PI21","North","Prairie Island","21","A",NA,NA,NA,NA,0.87741905,0.497722128176666,0.461121157,0.817292043,0.596491228070175,0.237345679012346
"149","PI21","North","Prairie Island","21","B",9.185,50.089,9.995,41.431,0.82808012,0.513716969620267,0.655946593,0.675888223,NA,NA
"150","PI21","North","Prairie Island","21","C",9.65,43.55,10.332,42.009,0.792421108,0.51726618705036,0.649623713,0.672575648,0.978835978835979,0.514084507042254
"151","PI21","North","Prairie Island","21","D",NA,NA,NA,NA,0.865049,0.397498005448181,0.447140154,0.790062654,0.660130718954248,0.282971014492754
"152","PI25","North","Prairie Island","25","A",NA,NA,NA,NA,0.959206273,0.452834133325322,0.552627177,0.837606838,NA,0.55956678700361
"153","PI25","North","Prairie Island","25","B",NA,NA,NA,NA,0.873406689,0.46645084783247,0.547582852,0.728242289,NA,NA
"154","PI25","North","Prairie Island","25","C",NA,NA,NA,NA,0.512574467,0.567042993486334,0.293329228,0.747773254,0.202803738317757,0.2375
