"","population","location","number","ID","ramet","block","pair","treatment_initial","treatment_final","control_initial","control_final","CHPL"
"162","Prairie Island","North","15","PI15","D",17,86,579,319,566,553,0.573918111524073
"163","Oil Patch","South","9","OP9","D",17,85,522,268,566,465,0.691855191367803
"164","Prairie Island","North","19","PI19","D",17,85,534,332,553,465,0.780854853675221
"165","Oil Patch","South","8","OP8","D",17,84,465,275,452,401,0.704229707869445
"166","Prairie Island","North","11","PI11","D",17,84,560,357,566,477,0.794743816254417
"167","Oil Patch","South","5","OP5","D",18,93,471,236,496,389,0.716787377576878
"168","Frontenac","North","8","FR8","D",18,93,515,294,541,439,0.75941352762773
"169","Prairie Island","North","12","PI12","D",18,92,509,313,477,427,0.719753040656032
"170","Cemetary","South","7b","CE7b","D",18,92,433,224,446,389,0.645123706749241
"171","Cemetary","South","10","CE10","D",18,91,522,110,528,446,0.366030999651689
"172","Prairie Island","North","9","PI9","D",18,91,541,370,547,465,0.833827261452993
"173","Prairie Island","North","1","PI1","D",18,90,471,287,484,458,0.663060834166798
"174","Oil Patch","South","4","OP4","D",18,90,465,268,477,439,0.656008656252113
"175","Reserve","South","5","RE5","D",18,89,458,230,471,414,0.623202514393792
"176","Prairie Island","North","3","PI3","D",18,89,509,192,452,477,0.321900481596745
"177","Cemetary","South","9","CE9","D",19,98,395,141,420,395,0.416485834840265
"178","Frontenac","North","12","FR12","D",19,98,515,344,522,477,0.754168061600268
"179","Prairie Island","North","14","PI14","D",19,97,534,401,515,484,0.811130504345296
"180","Cemetary","South","3","CE3","D",19,97,465,148,452,408,0.415624702635836
"181","Frontenac","North","11","FR11","D",19,96,420,275,471,408,0.788519866545344
"182","Cemetary","South","7a","CE7a","D",19,96,389,78,401,420,0.153132592682817
"183","Cemetary","South","5","CE5","D",19,95,395,141,370,332,0.459664728019158
"184","Prairie Island","North","27","PI27","D",19,95,465,351,446,427,0.797439606538406
"185","Reserve","South","7","RE7","D",19,94,458,129,477,484,0.266984336235387
"186","Prairie Island","North","5","PI5","D",19,94,496,332,484,446,0.747867235403892
"187","Oil Patch","South","2","OP2","D",20,103,528,325,541,458,0.768949896375959
"188","Frontenac","North","10","FR10","D",20,103,420,205,414,376,0.579882677708765
"189","Oil Patch","South","6","OP6","D",20,102,439,319,490,452,0.804202501045977
"190","Prairie Island","North","10","PI10","D",20,101,541,376,560,427,0.932509242144178
"191","Cemetary","South","1","CE1","D",20,101,433,154,458,395,0.493212783767157
"192","Prairie Island","North","2","PI2","D",20,102,490,376,509,452,0.879331221683172
"193","Oil Patch","South","1","OP1","D",20,100,503,286,534,484,0.662221427986389
"194","Prairie Island","North","13","PI13","D",20,100,553,313,572,522,0.653416204049115
"195","Oil Patch","South","7","OP7","D",20,99,522,313,522,465,0.708812260536398
"196","Prairie Island","North","18","PI18","D",20,99,579,389,553,484,0.796621974033924
"197","Prairie Island","North","18","PI18","D",21,105,439,306,433,382,0.814821634304292
"198","Cemetary","South","7a","CE7a","D",21,105,376,110,382,313,0.473181463740671
"199","Reserve","South","7","RE7","D",21,106,408,8,433,408,0.0773445636915274
"200","Prairie Island","North","11","PI11","D",21,106,439,205,408,338,0.638539014694716
"201","Cemetary","South","5","CE5","D",21,109,313,46,325,332,0.12542639469157
"202","Prairie Island","North","27","PI27","D",21,109,389,262,382,389,0.6551972435699
