,ID,location,population,number,block,HCMS,CCMS,HCHPL,CCHPL,CPS_dif,HPS_dif
122,OP4,South,Oil Patch,4,1,0.769899778,0.582638102,0.430021158,0.519188393,-18.52,-4.5
123,OP4,South,Oil Patch,4,11,0.382167078,0.658694357,0.37825337,0.661037696,-14.1,-12.905
124,OP4,South,Oil Patch,4,18,0.483423409,0.468885,0.390087806,0.656008656,-15.7,1.7
125,OP4,South,Oil Patch,4,8,0.435281854,0.512609708,0.359277511,0.613812468,-12.08,NA
130,OP5,South,Oil Patch,5,1,0.765742598,0.616953981,0.160056231,0.68495068,-7.68,-10.8
131,OP5,South,Oil Patch,5,10,0.436442664,0.603199473,0.446366475,0.595015468,-1.2,NA
132,OP5,South,Oil Patch,5,12,0.67988321,0.551007511,0.364949817,0.628209777,NA,NA
133,OP5,South,Oil Patch,5,18,0.585569851,0.498713227,0.370748171,0.716787378,-9.5,-17.58
137,OP6,South,Oil Patch,6,13,0.401906661,0.444003479,0.377692209,0.725755559,8.2,-4.1
138,OP6,South,Oil Patch,6,20,0.749331752,0.485314197,0.45505618,0.804202501,NA,NA
139,OP6,South,Oil Patch,6,5,0.377602683,0.550940752,0.300971251,0.626967293,NA,NA
140,OP6,South,Oil Patch,6,6,0.620238991,0.490473998,0.332006526,0.641137124,-3,-5.4
142,OP7,South,Oil Patch,7,10,0.39654001,0.648833395,0.477951008,0.777185637,10.2,NA
143,OP7,South,Oil Patch,7,14,0.719749223,0.455627611,0.428755474,0.744144721,-8.05,-11.18
144,OP7,South,Oil Patch,7,20,0.881502835,0.421404127,0.459641256,0.708812261,NA,NA
145,OP7,South,Oil Patch,7,4,0.26428735,0.509770318,0.495424412,0.623688284,NA,11.6
147,OP8,South,Oil Patch,8,14,0.842215808,0.477916529,0.418896546,0.698354662,NA,NA
148,OP8,South,Oil Patch,8,17,0.608066936,0.392081938,0.359869034,0.704229708,-16.06,-5.2
149,OP8,South,Oil Patch,8,3,0.945557751,0.543389799,0.777157659,0.699563554,NA,-7.1
150,OP8,South,Oil Patch,8,8,0.403811114,0.489147627,0.325026873,0.58309198,-12.9,NA
154,OP9,South,Oil Patch,9,10,0.413239556,0.549722921,0.452432549,0.677825068,-9.9,NA
155,OP9,South,Oil Patch,9,13,0.553197975,0.447999328,0.459799609,0.503880929,-14.55,0.2
156,OP9,South,Oil Patch,9,17,0.672616441,0.452529011,0.41882773,0.691855191,-8.6,1.3
157,OP9,South,Oil Patch,9,4,0.413963525,0.520332092,0.5967905,0.565587716,NA,2.3
161,PI1,North,Prairie Island,1,1,0.948378406,0.570151137,0.07,0.920007419,9.88,6.15
162,PI1,North,Prairie Island,1,12,0.67381278,0.556896119,0.41969423,0.829334953,NA,NA
163,PI1,North,Prairie Island,1,18,0.518656875,0.462427766,0.293484672,0.663060834,NA,NA
164,PI1,North,Prairie Island,1,7,0.885332195,0.48191699,0.52890806,0.732622908,-6.4,3.4
167,PI10,North,Prairie Island,10,1,0.900973146,0.601237604,0.330360115,0.790197725,-0.5,-13.2
168,PI10,North,Prairie Island,10,10,0.689191065,0.460627141,0.398629072,0.676579163,-16.6,NA
169,PI10,North,Prairie Island,10,12,0.795283799,0.481758245,0.42042639,0.715025907,NA,-3.7
170,PI10,North,Prairie Island,10,20,0.796611263,0.431288492,0.475303587,0.932509242,NA,NA
173,PI11,North,Prairie Island,11,12,0.771920819,0.472264695,0.465708296,0.677364865,NA,NA
174,PI11,North,Prairie Island,11,17,0.758047979,0.332372178,0.372055367,0.794743816,NA,NA
175,PI11,North,Prairie Island,11,21,0.634006312,0.442892243,0.314407992,0.638539015,NA,NA
176,PI11,North,Prairie Island,11,4,0.400431732,0.529959145,0.576446216,0.688126828,NA,8.9
178,PI12,North,Prairie Island,12,12,0.811759152,0.473569069,0.409255447,0.907238068,NA,NA
179,PI12,North,Prairie Island,12,18,0.749571768,0.539066212,0.785493387,0.719753041,-17.57,-3.7
