Measurement,Date,ID,Block,Ramet,Photo
Initial,16-Oct,CE6     ,16,d                                     ,25.3
Initial,16-Oct,PI25    ,16,d                                     ,28.5
Final,19-Oct,PI14    ,8,b                                     ,7.5
Final,19-Oct,PI27    ,8,b                                     ,6.24
Final,19-Oct,FR2     ,10,b                                     ,13.4
Final,19-Oct,OP5     ,10,b                                     ,11.2
Final,19-Oct,OP9     ,10,b                                     ,9.29
Final,19-Oct,FR10    ,10,b                                     ,7.76
Final,19-Oct,CE8     ,16,d                                     ,7.43
Final,19-Oct,FR2     ,16,d                                     ,7.68
Final,19-Oct,PI25    ,16,d                                     ,7.74
Final,19-Oct,CE6     ,16,d                                     ,12.9
Initial,19-Oct,PI30    ,16,d                                     ,6.63
Initial,19-Oct,CE2     ,16,d                                     ,17.5
Initial,19-Oct,PI21    ,16,d                                     ,15.3
Initial,19-Oct,CE11    ,16,d                                     ,10.8
Initial,19-Oct,PI11    ,17,d                                     ,11.6
Initial,19-Oct,PI19    ,17,d                                     ,15.5
Initial,19-Oct,FR8     ,18,d                                     ,17
Initial,19-Oct,CE7b    ,18,d                                     ,16.4
Initial,19-Oct,PI9     ,18,d                                     ,7.33
Initial,19-Oct,CE10    ,18,d                                     ,10.2
Final,22-Oct,PI30    ,16,d                                     ,11
Final,22-Oct,CE2     ,16,d                                     ,16.9
Final,22-Oct,PI21    ,17,d                                     ,10.1
Final,22-Oct,PI11    ,17,d                                     ,6.95
Final,22-Oct,CE11    ,17,d                                     ,32.8
Final,22-Oct,PI19    ,17,d                                     ,9.58
Final,22-Oct,CE7b    ,18,d                                     ,14.7
Final,22-Oct,FR8     ,18,d                                     ,18.7
Final,22-Oct,CE10    ,18,d                                     ,9.94
Final,22-Oct,PI9     ,18,d                                     ,8.56
Initial,22-Oct,CE2     ,12,c                                     ,24.3
Initial,22-Oct,PI14    ,12,c                                     ,18.1
Initial,22-Oct,OP1     ,12,c                                     ,10.7
Initial,22-Oct,PI11    ,12,c                                     ,10.1
Initial,22-Oct,PI10    ,12,c                                     ,18.9
Initial,22-Oct,OP5     ,12,c                                     ,4.42
Initial,22-Oct,PI      ,12,c                                     ,4.93
Initial,22-Oct,PI12    ,12,c                                     ,9.31
Initial,22-Oct,CE9     ,12,c                                     ,8.72
Initial,22-Oct,PI27    ,13,c                                     ,12.1
Initial,22-Oct,CE3     ,13,c                                     ,12.3
,,,,,
Final,28-Oct,OP8     ,14,c                                     ,5.01
Final,28-Oct,PI30    ,13,c                                     ,8.85
Final,28-Oct,FR12    ,13,c                                     ,11.1
Final,28-Oct,CE7b    ,13,c                                     ,36.6
Final,28-Oct,FR2     ,14,c                                     ,7.44
Final,28-Oct,PI18    ,14,c                                     ,3.28
Final,28-Oct,PI18    ,14,c                                     ,12.5
Initial,28-Oct,FR1     ,15,c                                     ,9.96
Initial,28-Oct,PI9     ,15,c                                     ,14.8
Initial,28-Oct,RE3     ,15,c                                     ,7.1
Initial,28-Oct,FR6     ,15,c                                     ,5.91
Initial,28-Oct,CE1     ,15,c                                     ,12.2
Initial,28-Oct,PI2     ,15,c                                     ,11.8
Initial,28-Oct,PI5     ,15,c                                     ,6.34
Final,31-Oct,FR1     ,15,c                                     ,8.22
Final,31-Oct,PI9     ,15,c                                     ,9.13
Final,31-Oct,RE3     ,15,c                                     ,7.62
Final,31-Oct,FR6     ,15,c                                     ,17
Final,31-Oct,CE1     ,15,c                                     ,3.1
Final,31-Oct,PI2     ,15,c                                     ,5.7
Final,31-Oct,PI5     ,15,c                                     ,5.67
Initial,31-Oct,OP7     ,20,d,6.2
Initial,31-Oct,PL4     ,19,d                                     ,44.6
Initial,31-Oct,PI18    ,20,d                                     ,26
Initial,31-Oct,PI27    ,20,d                                     ,27.7
Initial,31-Oct,CE5     ,20,d                                     ,42.1
Initial,31-Oct,PI5     ,19,d                                     ,6.38
Initial,31-Oct,PI5     ,19,d                                     ,9.91
Initial,31-Oct,CE7a    ,19,d                                     ,29.3
Initial,31-Oct,CE3     ,19,d                                     ,42.3
Initial,31-Oct,FR11    ,19,d                                     ,30.4
Initial,31-Oct,PI14    ,19,d                                     ,20.2
Initial,31-Oct,RE5     ,18,d                                     ,39.7
Initial,31-Oct,FR12    ,19,d                                     ,29
Final,3-Nov,OP7     ,20,d                                     ,5.97
Final,3-Nov,PL4     ,19,d                                     ,29.2
Final,3-Nov,PI18    ,20,d                                     ,20.1
Final,3-Nov,PI27    ,19,d                                     ,27.6
Final,3-Nov,CE5     ,19,d                                     ,24.9
Final,3-Nov,CE7a    ,19,d                                     ,17.7
Final,3-Nov,PI5     ,19,d                                     ,6.86
Final,3-Nov,CE3     ,19,d                                     ,37.9
Final,3-Nov,FR11    ,19,d                                     ,11.2
Final,3-Nov,PI14    ,19,d                                     ,18.5
Final,3-Nov,RE5     ,18,d                                     ,15.3
Final,3-Nov,FR12    ,19,d                                     ,18.6
Initial,3-Nov,OP2     ,20,d                                     ,22.3
Initial,3-Nov,OP6     ,20,d                                     ,19.1
Initial,3-Nov,PI10    ,20,d                                     ,8.13
Initial,3-Nov,PI2     ,20,d                                     ,5.61
Initial,3-Nov,OP1     ,20,d                                     ,6.68
Initial,3-Nov,PI13    ,20,d                                     ,3.25
Final,6-Nov,OP2     ,20,d                                     ,17
Final,6-Nov,OP6     ,20,d                                     ,6.58
Final,6-Nov,PI10    ,20,d                                     ,5.69
Final,6-Nov,PI2     ,20,d                                     ,2.31
Final,6-Nov,OP1     ,20,d                                     ,5.45
Final,6-Nov,PI13    ,20,d                                     ,4.71
Initial,6-Nov,PI18    ,21,e                                     ,5.7
Initial,6-Nov,CE7a    ,21,e                                     ,17
Initial,6-Nov,PI11    ,21,e                                     ,8.81
Initial,6-Nov,PI27    ,21,e                                     ,9.14
Initial,6-Nov,FR12    ,21,e                                     ,8.23
Final,9-Nov,PI18    ,21,e                                     ,-0.0311
Final,9-Nov,CE7a    ,21,e                                     ,6.03
Final,9-Nov,PI11    ,21,e                                     ,1.34
Final,9-Nov,PI27    ,21,e                                     ,0.737
Final,9-Nov,FR12    ,21,e                                     ,3.32
