 ,Area,Mean,Min,Max,Length,Length (mm),,,,
158,19,107.48,63.559,157.676,18.876,0.028795197,,,,
159,21,94.983,73.962,117.409,20.225,0.030853086,,,,
160,15,70.295,52.467,101.07,14.036,0.021411813,,,,
161,113,167.293,104.69,209.243,112.682,0.171895546,,,,
162,129,146.603,80.01,167.349,128.771,0.196439195,,,,
163,57,159.09,80.922,194.829,56.164,0.085677761,,,,
164,274,154.991,75.17,186.175,274.069,0.418090205,,,,
165,243,162.907,106.97,192.368,242.646,0.370154654,,,,
166,92,138.432,61.891,178.314,91.863,0.140136318,,,,
167,161,179.269,75.01,203.442,160.35,0.244612723,,,,
168,15,108.571,85.074,129.728,14.422,0.022000653,,,,
169,239,161.288,113.438,189.581,238.349,0.363599613,,,,
170,46,102.909,66.587,138.333,45,0.068647163,,,,
171,12,108.831,98.646,116.843,11.314,0.017259422,,,,
172,17,109.111,70.789,140.541,16.643,0.025388772,,,,
173,20,96.665,68.909,117.456,19.209,0.029303186,,,,
174,24,113.45,62.549,166.748,24.858,0.037920693,,,,
175,12,80.335,49.088,118.333,11.402,0.017393666,,,,
176,13,81.783,50.164,126.469,12.166,0.018559142,,,,
177,10,78.694,58.769,112,9.434,0.014391496,,,,
178,136,161.139,73.239,195.211,135.065,0.206040645,,,,
179,208,152.705,42.584,255,207.211,0.316098828,,,,
180,16,87.045,52.814,132,15.649,0.023872432,,,,
181,9,98.372,76.255,130,8.944,0.013644005,,,,
182,8,94.358,70.998,127.667,7.071,0.010786758,,,,
183,13,81.893,70.301,109,12.166,0.018559142,,,,
184,11,102.302,73.515,124.032,10.817,0.016501252,,,,
185,17,81.942,72.333,89.061,16.291,0.024851798,,,,
