ID,Iden,Region,Population,Treatment,Block,Number,style_length,stamen_length,ovule_number
PI14,PI14A,North,PI,Heat,A,1,10.3,6.9,41
PI14,PI14A,North,PI,Heat,A,2,12.1,6.2,89
PI14,PI14A,North,PI,Heat,A,3,10.9,6,116
PI14,PI14B,North,PI,Control,B,1,11,8.1,
PI14,PI14B,North,PI,Control,B,2,11,7.4,
PI14,PI14B,North,PI,Control,B,3,11.3,7,
PI15,PI15A,North,PI,Heat,A,1,,,
PI15,PI15A,North,PI,Heat,A,2,,,
PI15,PI15A,North,PI,Heat,A,3,,,
PI15,PI15B,North,PI,Control,B,1,,,
PI15,PI15B,North,PI,Control,B,2,,,
PI15,PI15B,North,PI,Control,B,3,,,
PI18,PI18A,North,PI,Control,A,1,11.9,7.6,
PI18,PI18A,North,PI,Control,A,2,,,
PI18,PI18A,North,PI,Control,A,3,,,
PI18,PI18B,North,PI,Heat,B,1,10.4,6.9,
PI18,PI18B,North,PI,Heat,B,2,9.1,6.1,
PI18,PI18B,North,PI,Heat,B,3,9.3,6.6,
PI19,PI19A,North,PI,Heat,A,1,,,
PI19,PI19A,North,PI,Heat,A,2,,,
PI19,PI19A,North,PI,Heat,A,3,,,
PI19,PI19B,North,PI,Control,B,1,12.2,8.1,111
PI19,PI19B,North,PI,Control,B,2,11.9,7.5,101
PI19,PI19B,North,PI,Control,B,3,12.9,7.2,94
PI2,PI2A,North,PI,Control,A,1,11.7,7.2,
PI2,PI2A,North,PI,Control,A,2,11.2,7.2,
PI2,PI2A,North,PI,Control,A,3,11.8,7.2,
PI2,PI2B,North,PI,Heat,B,1,,,
PI2,PI2B,North,PI,Heat,B,2,,,
PI2,PI2B,North,PI,Heat,B,3,,,
PI21,PI21A,North,PI,Heat,A,1,11.5,6.1,107
PI21,PI21A,North,PI,Heat,A,2,12.3,6.7,88
PI21,PI21A,North,PI,Heat,A,3,12,7,100
PI21,PI21B,North,PI,Control,B,1,13,7.4,
PI21,PI21B,North,PI,Control,B,2,12.2,7.3,
PI21,PI21B,North,PI,Control,B,3,12.4,8,
PI25,PI25A,North,PI,Heat,A,1,12,7,86
PI25,PI25A,North,PI,Heat,A,2,11.9,6.8,81
PI25,PI25A,North,PI,Heat,A,3,10.5,6.8,130
PI25,PI25B,North,PI,Control,B,1,10,6.6,
PI25,PI25B,North,PI,Control,B,2,11.9,6.9,
PI25,PI25B,North,PI,Control,B,3,11.3,7,
PI27,PI27A,North,PI,Control,A,1,12.1,7.6,68
PI27,PI27A,North,PI,Control,A,2,13.8,8,84
PI27,PI27A,North,PI,Control,A,3,13.1,8,71
PI27,PI27B,North,PI,Heat,B,1,,,
PI27,PI27B,North,PI,Heat,B,2,,,
PI27,PI27B,North,PI,Heat,B,3,,,
PI28,PI28A,North,PI,Control,A,1,10.5,7,
PI28,PI28A,North,PI,Control,A,2,11,7.4,
PI28,PI28A,North,PI,Control,A,3,11.1,7.1,
PI28,PI28B,North,PI,Heat,B,1,,,
PI28,PI28B,North,PI,Heat,B,2,,,
PI28,PI28B,North,PI,Heat,B,3,,,
PI3,PI3A,North,PI,Control,A,1,12.7,7.6,
PI3,PI3A,North,PI,Control,A,2,12.6,7.9,
PI3,PI3A,North,PI,Control,A,3,12.4,8.5,
PI3,PI3B,North,PI,Heat,B,1,,,
PI3,PI3B,North,PI,Heat,B,2,,,
PI3,PI3B,North,PI,Heat,B,3,,,
PI30,PI30A,North,PI,Control,A,1,13,7.5,86
PI30,PI30A,North,PI,Control,A,2,12.9,7.5,79
PI30,PI30A,North,PI,Control,A,3,13,7.8,109
PI30,PI30B,North,PI,Heat,B,1,11.1,6.6,101
PI30,PI30B,North,PI,Heat,B,2,10.9,6.8,101
PI30,PI30B,North,PI,Heat,B,3,11.3,7,74
