 ,Area,Mean,Min,Max,Length,Length (mm),,,,,
178,102,155.239,71.476,181.144,101.697,0.151405793,,,,,
179,80,155.209,105.667,171.931,79.931,0.119000722,,,,,
180,233,172.302,63.667,255,232.765,0.346538928,,,,,
181,102,142.582,68,166.435,101.085,0.150494652,,,,,
182,49,112.973,54.01,255,48.526,0.072245174,,,,,
183,82,94.879,31.606,159.771,81.233,0.120939131,,,,,
184,33,100.919,83.12,134.235,32.938,0.049037867,,,,,
185,34,74.846,42.616,103,33.608,0.050035359,,,,,
186,31,64.644,56.11,73.985,30.677,0.045671706,,,,,
187,50,97.354,72.168,118.873,51.486,0.076652002,,,,,
188,11,70.633,33.89,107.667,10.296,0.015328614,,,,,
189,16,87.552,53.203,108.444,15.232,0.022677297,,,,,
190,21,76.029,46.53,105.861,20.684,0.030794197,,,,,
191,18,113.079,66.224,161.299,17.464,0.026000283,,,,,
192,35,56.085,44.5,75.433,34.614,0.051533085,,,,,
193,118,146.427,68.092,255,117.283,0.174610122,,,,,
194,32,118.583,52.333,157.75,32.182,0.04791234,,,,,
195,15,71.267,34.279,99.172,14.142,0.021054512,,,,,
